ヒントNo,ヒント名,ヒント内容1,ヒント内容2,ヒント内容3,ヒント内容4
1,黒い箱の開け方がわからない,タレコミには「上によろしく」と書いてありました。この文言から四桁の数字を導き出くことができるようです。,「よろしく」に注目してみると、四桁の数字に変換することができそうです。ただし、それだけでは鍵は開きません。ここで、「上に」という表現に注目し、四桁の各桁を上にずらしてみましょう。,,
2,八星製薬の調べ方がわからない,八星製薬の情報が載っているものを探しましょう。今回、荷物の送り元は八星製薬のようです。,荷物を送る時、多くの場合送り票に発送元の情報が記載されています。段ボール箱の発送元の記載をみてみると、八星製薬のものと思われるURLが記載されているようです。,,
3,八星製薬のHPで何をすればいいかわからない,HPを見ていると、最新ニュースの欄のタイトルをクリックすることで、それぞれのページを見ることができるようです。,新入社員紹介ページを見てみると、個性のある紹介文が載っています。それぞれの紹介文をよく読むと、新しい情報源になりそうな内容が見つかりそうです。,,
4,Xアカウントを見つけたが何をすればいいかわからない,新入社員の中には、どうやら口が軽そうな人がいるようです。投稿を見て気になったワードは、八星製薬のHPに行って、サイト内検索をかけてみると良さそうです。,Xの投稿で気になるワードを見つけても、投稿者の記憶が曖昧で正確な表記でない可能性がありそうです。リプライなどで情報の確度を上げ、より正確な表記を突き止め、サイト検索を行うことができないでしょうか。,,
5,ミーティアの小謎①の解き方がわからない,XXX,,,
6,ミーティアの小謎②の解き方がわからない,XXX,,,
7,ミーティアの小謎③の解き方がわからない,XXX,,,
8,ミーティアの小謎④の解き方がわからない,XXX,,,
9,ひらがなの書いてある紙を見つけたが、どう使うのかわからない,XXX,,,
10,ひらがなの書いてある紙から指示を導いたが、どこで指示を実行するのかわからない,八星製薬のHPのどこかで「XXX」を見かけたことがないか思い返してみましょう。,「XXX」は、最新ニュースの一覧で見かけたマークと一致しているようです。,,
11,ひらがなの書いてある紙から導いた指示を実行したが、どう解くのかわからない,記号と数字の組み合わせが四つあるようですが、それぞれの組み合わせから色を導く必要がありそうです。思い返してみると、すでに行った操作で同様のことをしていたのではないでしょうか。,,,
12,社内報を見つけたが、何をすればいいのかわからない,社内報の情報をよくみると、アクセスできそうなURLが記載されているようです。,,,
13,ポータルサイトのユーザーIDがわからない,社員のユーザーIDを手に入れる必要がありますが、今年の新入社員には口の軽そうな人がいるようです。,新入社員は会社から注意されてもSNSを継続しています。ここに何か役立つ情報がないでしょうか。,,
14,ポータルサイトのパスワードがわからない,パスワードを忘れた場合に備えて、いつでも使えるパスワードが設定されているようです。,,,
15,「新しく発見された物質について」のパスワードがわからない,XXX,,,
16,「プロジェクトメテオ」のパスワードがわからない,XXX,,,
17,「緊急マニュアル」のパスワードがわからない,XXX,,,
18,解毒薬を調合する手順がわからない,XXX,,,
